Wall time,Step,Value
1654398169.4009125,274131,264.0
1654398175.7612467,274428,264.0
1654398180.0616581,274626,264.0
1654398184.3595827,274824,264.0
1654398190.734773,275121,264.0
1654398206.1531236,275814,264.0
1654398232.0800436,277002,264.0
1654398234.7089412,277200,264.0
1654398262.749593,278487,264.0
1654398264.9366598,278586,264.0
1654398288.6673152,279675,264.0
1654398310.348637,280665,264.0
1654398319.03409,281061,264.0
1654398331.9977229,281655,264.0
1654398347.2620392,282348,214.0
1654398349.4027677,282447,214.0
1654398360.2317302,282942,264.0
1654398368.9167564,283338,-6.0
1654398371.0907032,283437,264.0
1654398379.7703178,283833,264.0
1654398412.1439736,285318,264.0
1654398414.3207717,285417,264.0
1654398433.7016842,286308,264.0
1654398438.1523657,286506,264.0
1654398442.4935782,286704,264.0
1654398457.9824927,287496,264.0
1654398475.3243175,288288,264.0
1654398483.984233,288684,264.0
1654398490.466172,288981,264.0
1654398494.8058934,289179,154.0
1654398496.9311578,289278,214.0
1654398503.385988,289575,264.0
1654398516.436754,290169,214.0
1654398525.0917869,290565,214.0
1654398527.2517517,290664,264.0
1654398557.4167335,292050,264.0
1654398563.9785552,292347,264.0
1654398570.3369071,292644,264.0
1654398585.4979353,293337,214.0
1654398592.0082593,293634,264.0
1654398596.3168185,293832,264.0
1654398609.260513,294426,264.0
1654398620.0725813,294921,264.0
1654398633.0974054,295515,264.0
1654398637.4295676,295713,264.0
1654398652.510702,296406,264.0
1654398658.965079,296703,264.0
1654398663.6727545,297000,214.0
1654398670.1668947,297297,264.0
1654398687.4960535,298089,264.0
1654398706.9095738,298980,264.0
1654398728.4509988,299970,214.0
1654398739.2992537,300465,214.0
1654398767.3982794,301752,108.0
1654398771.6887884,301950,264.0
1654398808.363301,303633,214.0
1654398814.7068095,303930,264.0
1654398825.3855598,304425,264.0
1654398844.464549,305316,264.0
1654398846.6068113,305415,264.0
1654398859.3835723,306009,264.0
1654398872.030669,306603,264.0
1654398885.2437544,307296,264.0
1654398887.537653,307395,264.0
1654398889.6650598,307494,264.0
1654398893.9042625,307692,264.0
1654398902.3931494,308088,264.0
1654398910.874449,308484,264.0
1654398919.3580046,308880,264.0
1654398921.4296331,308979,264.0
1654398923.683202,309078,264.0
1654398934.2840772,309573,264.0
1654398938.5581126,309771,264.0
1654398959.8619914,310761,264.0
1654398974.6479685,311454,264.0
1654398995.9213989,312444,264.0
1654399034.1575239,314226,264.0
1654399044.7922218,314721,264.0
1654399064.0413601,315612,264.0
1654399070.470284,315909,264.0
1654399074.7888138,316107,264.0
1654399087.9776554,316800,264.0
1654399096.4941092,317196,264.0
1654399098.6468532,317295,264.0
1654399115.6671236,318087,264.0
1654399124.250502,318483,264.0
1654399126.3574028,318582,264.0
1654399132.7317758,318879,264.0
1654399136.9051468,319077,264.0
1654399151.7902155,319770,264.0
1654399168.7354224,320562,264.0
1654399177.2399392,320958,264.0
1654399181.4691553,321156,210.0
1654399194.2251873,321750,264.0
1654399228.1929028,323334,264.0
1654399234.5383594,323631,264.0
1654399260.126987,324819,264.0
1654399290.162115,326205,264.0
1654399298.6302304,326601,264.0
1654399313.889778,327393,214.0
1654399358.5509307,329472,-66.0
1654399386.100541,330759,98.0
1654399396.765056,331254,264.0
1654399420.0133085,332343,264.0
1654399439.0282497,333234,214.0
1654399449.6674263,333729,264.0
1654399453.863504,333927,214.0
1654399457.9939947,334125,264.0
1654399464.451435,334422,264.0
1654399468.7879384,334620,104.0
1654399479.2909007,335115,264.0
1654399481.436075,335214,264.0
1654399498.4688725,336006,264.0
1654399500.610427,336105,264.0
1654399506.9943838,336402,264.0
1654399520.2247698,337095,264.0
1654399528.730223,337491,264.0
1654399530.869688,337590,264.0
1654399550.0073247,338481,264.0
1654399558.6751332,338877,264.0
1654399567.6514726,339273,264.0
1654399584.5797632,340065,264.0
1654399595.0944161,340560,208.0
1654399626.6965096,342045,264.0
1654399628.810972,342144,264.0
1654399637.3192284,342540,100.0
1654399641.6086707,342738,264.0
1654399656.5997481,343431,264.0
1654399665.2256005,343827,264.0
1654399684.3773737,344718,264.0
1654399686.4918175,344817,264.0
1654399688.6248531,344916,264.0
1654399690.7639334,345015,264.0
1654399692.8884006,345114,264.0
1654399705.5988083,345708,264.0
1654399709.8350232,345906,264.0
1654399716.1770666,346203,264.0
1654399720.85863,346500,264.0
1654399722.9991922,346599,264.0
1654399729.3740838,346896,264.0
1654399752.8531024,347985,264.0
1654399765.663313,348579,264.0
1654399778.4809253,349173,264.0
1654399797.5311134,350064,92.0
1654399799.6526031,350163,92.0
1654399810.252257,350658,264.0
1654399816.7099984,350955,264.0
1654399829.569628,351549,264.0
1654399838.0104737,351945,264.0
1654399846.4629028,352341,264.0
1654399863.5112164,353133,264.0
1654399869.9119108,353430,214.0
1654399882.6561618,354024,264.0
1654399884.78188,354123,264.0
1654399901.7469423,354915,264.0
1654399908.157703,355212,264.0
1654399910.2781973,355311,264.0
1654399934.0377958,356499,264.0
1654399961.6430676,357786,264.0
1654399963.7739613,357885,264.0
1654399965.9125972,357984,214.0
1654399968.023905,358083,264.0
1654399997.5410845,359469,264.0
1654400048.686895,361845,264.0
1654400055.059695,362142,264.0
1654400059.2274065,362340,264.0
1654400063.529808,362538,264.0
1654400069.8642442,362835,264.0
1654400078.3837984,363231,264.0
1654400084.7713752,363528,264.0
1654400086.9244714,363627,264.0
1654400125.174981,365409,264.0
1654400144.858183,366399,264.0
1654400159.7718248,367092,264.0
1654400168.289967,367488,264.0
1654400170.4218495,367587,264.0
1654400181.1458228,368082,264.0
1654400183.262038,368181,264.0
1654400189.6647918,368478,264.0
1654400213.2250812,369567,264.0
1654400215.3559642,369666,264.0
1654400240.8710787,370854,264.0
1654400242.9918723,370953,264.0
1654400247.231165,371151,264.0
1654400249.352916,371250,264.0
1654400255.792434,371547,264.0
1654400257.942803,371646,264.0
1654400260.0416617,371745,264.0
1654400274.9913077,372438,264.0
1654400279.2253907,372636,264.0
1654400283.4691973,372834,264.0
1654400315.393473,374319,264.0
1654400317.5499315,374418,264.0
1654400319.7004514,374517,264.0
1654400321.8206744,374616,264.0
1654400330.2082417,375012,264.0
1654400336.5999322,375309,264.0
1654400366.699907,376794,264.0
1654400371.0150352,376992,264.0
1654400383.8299909,377586,264.0
1654400388.1214051,377784,264.0
1654400396.6345189,378180,264.0
1654400405.1388235,378576,264.0
1654400407.2868192,378675,264.0
1654400439.2034295,380160,264.0
1654400458.3202877,381051,264.0
1654400462.578848,381249,264.0
1654400466.8877788,381447,264.0
1654400473.3304596,381744,264.0
1654400477.6078327,381942,264.0
1654400484.0298562,382239,264.0
1654400503.1197748,383130,264.0
1654400509.45633,383427,264.0
1654400515.829786,383724,264.0
1654400562.8315086,385902,264.0
1654400571.705601,386397,264.0
1654400584.462869,386991,264.0
1654400590.878966,387288,264.0
1654400599.3831415,387684,264.0
1654400612.1592445,388278,214.0
1654400618.5450134,388575,264.0
1654400622.8307056,388773,264.0
1654400633.4761221,389268,264.0
1654400637.7073755,389466,264.0
1654400644.111713,389763,264.0
1654400680.2315905,391446,264.0
1654400688.779655,391842,264.0
1654400705.7805932,392634,154.0
1654400707.9263494,392733,264.0
1654400726.9835086,393624,264.0
1654400739.8771067,394218,264.0
1654400741.9627743,394317,264.0
1654400744.1092584,394416,264.0
1654400750.42363,394713,264.0
1654400763.21782,395307,264.0
1654400773.76889,395802,264.0
1654400778.5192063,396099,264.0
1654400795.5316823,396891,264.0
1654400804.0317929,397287,264.0
1654400808.2328396,397485,264.0
1654400827.284977,398376,264.0
1654400837.8758128,398871,264.0
1654400850.6178844,399465,264.0
1654400852.732719,399564,264.0
1654400863.3578734,400059,264.0
1654400878.177875,400752,264.0
1654400916.5307028,402534,264.0
1654400918.6423974,402633,264.0
1654400933.5140352,403326,264.0
1654400950.5023477,404118,264.0
1654400952.6000586,404217,264.0
1654400956.8558881,404415,264.0
1654400965.272883,404811,264.0
1654400973.7377436,405207,264.0
1654400984.4223964,405702,264.0
1654401008.2783685,406890,264.0
1654401021.0962293,407484,264.0
1654401033.8937683,408078,264.0
1654401040.2610533,408375,264.0
1654401053.0202339,408969,264.0
1654401078.5031583,410157,264.0
1654401087.0716093,410553,264.0
1654401102.0061562,411246,264.0
1654401108.4120715,411543,264.0
1654401131.934958,412632,264.0
1654401153.1456149,413622,264.0
1654401155.2486475,413721,264.0
1654401161.5782473,414018,264.0
1654401185.0529895,415107,264.0
1654401215.202751,416592,264.0
1654401217.3272755,416691,264.0
1654401234.3538654,417483,264.0
1654401244.9835362,417978,264.0
1654401257.6249695,418572,264.0
1654401261.9052918,418770,264.0
1654401263.995799,418869,264.0
1654401276.873085,419463,264.0
1654401298.113176,420453,264.0
1654401304.477896,420750,264.0
1654401308.6995087,420948,264.0
1654401310.8602862,421047,264.0
1654401313.017459,421146,264.0
1654401321.5131164,421542,264.0
1654401342.6087356,422532,264.0
1654401344.7487628,422631,264.0
1654401349.020886,422829,264.0
1654401370.282794,423819,264.0
1654401372.4356844,423918,264.0
1654401408.6039634,425601,264.0
1654401421.7962055,426294,264.0
1654401430.3138227,426690,264.0
1654401449.5291078,427581,264.0
1654401460.3075008,428076,264.0
1654401470.9413242,428571,214.0
1654401483.7390306,429165,264.0
1654401502.9845083,430056,264.0
1654401511.4833875,430452,264.0
1654401520.0460532,430848,264.0
1654401539.1290445,431739,264.0
1654401549.7477057,432234,264.0
1654401562.5225103,432828,264.0
1654401573.0896454,433323,264.0
1654401579.5008764,433620,264.0
1654401581.5949934,433719,264.0
1654401596.524324,434412,264.0
1654401613.4577494,435204,264.0
1654401628.6691742,435996,264.0
1654401637.2425086,436392,264.0
1654401643.7208068,436689,264.0
1654401650.072316,436986,264.0
1654401652.1729567,437085,264.0
1654401669.1971934,437877,264.0
1654401673.5126226,438075,264.0
1654401696.917812,439164,264.0
1654401713.8378637,439956,264.0
1654401726.6361327,440550,264.0
1654401737.2869084,441045,264.0
1654401745.7947135,441441,264.0
1654401762.8305836,442233,264.0
1654401811.5635405,444510,264.0
1654401824.4517817,445104,264.0
1654401831.1373107,445500,264.0
1654401862.9774423,446985,264.0
1654401875.760061,447579,264.0
1654401882.1629705,447876,264.0
1654401886.4681923,448074,264.0
1654401901.298063,448767,264.0
1654401907.6663716,449064,264.0
1654401916.1998353,449460,264.0
1654401924.760658,449856,264.0
1654401926.9243617,449955,264.0
1654401929.0317612,450054,264.0
1654401933.3367474,450252,264.0
1654401946.114719,450846,264.0
1654401961.045006,451539,264.0
1654401965.2749412,451737,264.0
1654401969.5450292,451935,264.0
1654401978.1278293,452331,264.0
1654401984.482127,452628,264.0
1654401986.6108685,452727,264.0
1654401990.9134102,452925,264.0
1654402008.0040956,453717,264.0
1654402025.093715,454509,264.0
1654402029.3627725,454707,264.0
1654402057.5965383,456093,264.0
1654402063.9574058,456390,264.0
1654402070.339417,456687,264.0
1654402091.5217588,457677,264.0
1654402100.058042,458073,264.0
1654402106.5118527,458370,264.0
1654402138.5691636,459855,264.0
1654402149.0428064,460350,264.0
1654402151.2102168,460449,264.0
1654402159.7060242,460845,264.0
1654402168.133718,461241,264.0
1654402170.2832165,461340,264.0
1654402172.4220555,461439,264.0
1654402176.6995604,461637,264.0
1654402187.4808557,462132,264.0
1654402189.6126893,462231,264.0
1654402191.7395942,462330,264.0
1654402211.0015924,463221,264.0
1654402227.940139,464013,264.0
1654402236.3645494,464409,264.0
1654402240.6281614,464607,264.0
1654402253.5131466,465201,264.0
1654402268.8156743,465993,264.0
1654402270.8996925,466092,264.0
1654402283.6663575,466686,264.0
1654402290.0919857,466983,264.0
1654402307.2560005,467775,264.0
1654402320.0113552,468369,264.0
1654402326.4175909,468666,264.0
1654402328.5384064,468765,264.0
1654402334.872875,469062,264.0
1654402341.1876392,469359,264.0
1654402347.5920174,469656,264.0
1654402373.331046,470844,210.0
1654402381.867696,471240,264.0
1654402396.7493896,471933,264.0
1654402409.4022222,472527,264.0
1654402415.8218584,472824,264.0
1654402417.9334784,472923,264.0
1654402420.061242,473022,264.0
1654402426.4734988,473319,264.0
1654402428.5794246,473418,264.0
1654402443.4299664,474111,264.0
1654402447.6726801,474309,264.0
1654402451.939637,474507,264.0
1654402464.772665,475101,264.0
1654402475.7443895,475695,264.0
1654402482.1099887,475992,264.0
1654402488.4294338,476289,264.0
1654402492.6926239,476487,264.0
1654402496.9714518,476685,264.0
1654402530.8526993,478269,264.0
1654402535.094695,478467,264.0
1654402539.38385,478665,264.0
1654402541.4935327,478764,264.0
1654402543.7309988,478863,264.0
1654402558.5859034,479556,264.0
1654402560.7110255,479655,264.0
1654402598.9592645,481437,264.0
1654402605.327599,481734,264.0
1654402641.400935,483417,264.0
1654402669.2349389,484704,264.0
1654402695.1276298,485991,264.0
1654402699.3537915,486189,264.0
1654402707.8614357,486585,264.0
1654402731.2491853,487674,264.0
1654402735.4966416,487872,264.0
1654402739.8059843,488070,264.0
1654402748.313419,488466,264.0
1654402763.24459,489159,264.0
1654402771.8007565,489555,264.0
1654402782.3266046,490050,264.0
1654402843.9872696,492921,264.0
1654402848.1582115,493119,264.0
1654402869.3455026,494109,264.0
1654402871.475498,494208,264.0
1654402918.7609084,496485,264.0
1654402933.7464201,497178,264.0
1654402937.9525704,497376,264.0
1654402942.2167397,497574,264.0
1654402989.6486263,499752,264.0
1654403015.2874153,500940,264.0
1654403019.5174718,501138,264.0
1654403023.7673628,501336,264.0
1654403030.2128823,501633,264.0
1654403051.4859345,502623,264.0
1654403057.7846851,502920,264.0
1654403059.9130788,503019,264.0
1654403072.7044365,503613,264.0
1654403076.9099605,503811,264.0
1654403081.160775,504009,264.0
1654403091.8937519,504504,264.0
1654403096.1600094,504702,264.0
1654403102.9342997,505098,264.0
1654403107.1840544,505296,264.0
1654403147.4736893,507177,264.0
1654403156.0206385,507573,264.0
1654403168.773888,508167,264.0
1654403177.2548232,508563,264.0
1654403185.713849,508959,264.0
1654403200.56348,509652,264.0
1654403209.0271916,510048,264.0
1654403211.135563,510147,264.0
1654403215.3986166,510345,264.0
1654403217.5335133,510444,264.0
1654403243.0737283,511632,264.0
1654403262.1078787,512523,264.0
1654403285.6457374,513612,264.0
1654403307.0341234,514602,264.0
1654403309.1536603,514701,264.0
1654403311.7011876,514899,264.0
1654403322.6253638,515394,264.0
1654403326.860139,515592,264.0
1654403337.6343644,516087,264.0
1654403350.5140939,516681,264.0
1654403365.4793427,517374,264.0
1654403373.945754,517770,264.0
1654403393.2072105,518661,264.0
1654403425.0427766,520146,264.0
1654403427.18148,520245,264.0
1654403435.6758387,520641,264.0
1654403444.1774049,521037,264.0
1654403450.7024167,521334,264.0
1654403475.98564,522522,264.0
1654403495.0548923,523413,264.0
1654403505.6748118,523908,264.0
1654403509.883576,524106,264.0
1654403514.0777624,524304,264.0
1654403518.3185859,524502,264.0
1654403531.519459,525195,264.0
1654403561.302814,526581,264.0
1654403563.4068973,526680,264.0
1654403569.7727242,526977,264.0
1654403574.020218,527175,264.0
1654403582.5059297,527571,264.0
1654403584.6446917,527670,264.0
1654403595.3030748,528165,264.0
1654403599.574672,528363,264.0
1654403603.8713562,528561,264.0
1654403614.6525345,529056,264.0
1654403655.0763352,530937,264.0
1654403667.8552513,531531,264.0
1654403672.082518,531729,264.0
1654403678.4601102,532026,264.0
1654403697.5549467,532917,264.0
1654403720.8675792,534006,264.0
1654403725.127161,534204,264.0
1654403738.4513927,534897,264.0
1654403740.572352,534996,264.0
1654403749.0470474,535392,264.0
1654403751.1902032,535491,264.0
